,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,순위,선수명,팀명,AVG,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,year
17,18,최태원,SK,0.208,33,28,24,5,5,2,0,0,7,3,2,0,18,최태원,SK,0.208,1,0,1,2,0,0.292,0.269,0.561,0,0.167,0.0,18.0,최태원,SK,0.208,2.0,5.0,12.0,0.42,0.0,0.50,3.50,0.083,1.7,0.194,2003
18,19,송재익,SK,0.187,92,93,75,17,14,2,2,1,23,9,5,0,19,송재익,SK,0.187,10,0,3,18,2,0.307,0.307,0.614,3,0.24,0.0,19.0,송재익,SK,0.187,5.0,25.0,18.0,1.39,0.0,0.56,3.81,0.120,7.6,0.215,2003
19,20,조중근,SK,0.100,11,21,20,2,2,0,0,0,2,0,0,0,20,조중근,SK,0.100,1,0,0,6,0,0.100,0.143,0.243,1,0.143,0.0,20.0,조중근,SK,0.100,0.0,6.0,6.0,1.00,0.0,0.17,3.95,0.000,-0.3,0.089,2003
20,21,김동건,SK,-,2,0,0,0,0,0,0,0,0,0,0,0,21,김동건,SK,-,0,0,0,0,0,-,-,-,0,0.0,0.0,21.0,김동건,SK,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2003
21,21,신승현,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,21,신승현,SK,-,0,0,0,0,0,-,-,-,0,0.0,0.0,21.0,신승현,SK,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2003
22,21,김형철,SK,0.000,2,3,3,0,0,0,0,0,0,0,0,0,21,김형철,SK,0.000,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0,21.0,김형철,SK,0.000,0.0,1.0,2.0,0.50,0.0,-,3.33,0.000,-0.3,0.0,2003
23,21,박두일,SK,0.000,1,1,1,0,0,0,0,0,0,0,0,0,21,박두일,SK,0.000,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0,21.0,박두일,SK,0.000,0.0,0.0,1.0,0.00,0.0,-,8.00,0.000,-0.1,0.0,2003
24,21,송수근,SK,0.000,2,1,1,0,0,0,0,0,0,0,0,0,21,송수근,SK,0.000,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0,21.0,송수근,SK,0.000,0.0,0.0,1.0,0.00,0.0,-,5.00,0.000,-0.1,0.0,2003
25,21,송은범,SK,0.000,1,1,1,0,0,0,0,0,0,0,0,0,21,송은범,SK,0.000,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0,21.0,송은범,SK,0.000,0.0,0.0,0.0,-,0.0,0.00,4.00,0.000,-0.1,0.0,2003
26,21,윤길현,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,21,윤길현,SK,-,0,0,0,0,0,-,-,-,0,0.0,0.0,21.0,윤길현,SK,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2003
27,21,이대수,SK,0.000,10,2,1,2,0,0,0,0,0,1,0,1,21,이대수,SK,0.000,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0,21.0,이대수,SK,0.000,0.0,0.0,2.0,0.00,0.0,-,4.00,0.000,0.3,0.0,2003
28,21,조웅천,SK,-,2,0,0,0,0,0,0,0,0,0,0,0,21,조웅천,SK,-,0,0,0,0,0,-,-,-,0,0.0,0.0,21.0,조웅천,SK,-,0.0,0.0,0.0,-,0.0,-,-,-,0.0,0.0,2003
