,index,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,year,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
99,28,26,이강철,KIA,-,2,0,0,0,0,0,0,0.0,0,0,0,0,2002,28.0,0,10,50,6,0.391,0.339,0.730,26,0.31,0.0,26,111.0,95,1.17,0,0.56,3.70,0.124,46.8,0.25
100,0,1,황윤성,현대,0.324,25,39,37,6,12,4,1,1.0,21,9,0,0,2002,13.0,0,6,31,1,0.357,0.345,0.702,6,0.25,0.2,8,29.0,37,0.78,0,0.42,3.57,0.109,17.0,0.245
101,1,2,심정수,현대,0.321,133,577,502,101,161,22,1,46.0,323,119,0,3,2002,10.0,0,2,28,5,0.311,0.311,0.622,2,0.138,0.325,6,43.0,22,1.95,0,0.36,4.26,0.066,10.9,0.218
102,2,3,전준호,현대,0.300,126,501,420,83,126,15,8,3.0,166,28,14,1,2002,6.0,0,3,13,2,0.265,0.362,0.627,2,0.273,0.0,1,15.0,9,1.67,0,0.46,3.86,0.020,4.8,0.229
103,3,4,전근표,현대,0.294,11,20,17,2,5,2,1,0.0,9,5,0,0,2002,26.0,2,0,59,6,0.336,0.306,0.642,17,0.25,0.259,17,72.0,75,0.96,0,0.44,3.81,0.093,28.3,0.222
104,4,5,이숭용,현대,0.284,125,480,422,63,120,18,2,19.0,199,76,4,2,2002,8.0,0,1,18,1,0.315,0.282,0.597,6,0.115,0.0,5,34.0,32,1.06,0,0.44,3.88,0.093,10.5,0.206
105,5,6,최익성,현대,0.280,45,95,75,10,21,1,0,1.0,25,8,3,2,2002,10.0,0,5,89,5,0.310,0.254,0.564,12,0.211,0.0,18,69.0,74,0.93,0,0.11,3.64,0.092,23.1,0.192
106,6,7,폴,현대,0.280,113,441,397,48,111,18,2,18.0,187,64,1,2,2002,2.0,0,0,13,1,0.297,0.256,0.553,2,0.357,0.231,3,10.0,6,1.67,0,0.15,4.64,0.081,2.3,0.189
107,7,8,박재홍,현대,0.278,112,481,432,57,120,24,0,15.0,189,67,0,4,2002,13.0,0,1,34,1,0.315,0.282,0.597,6,0.136,0.071,8,43.0,40,1.08,0,0.38,3.91,0.101,14.3,0.206
108,8,9,프랭클린,현대,0.276,49,198,152,30,42,9,1,14.0,95,30,0,2,2002,14.0,0,10,51,8,0.297,0.272,0.569,14,0.175,0.0,14,96.0,83,1.16,0,0.27,3.57,0.083,23.5,0.197
109,9,10,강귀태,현대,0.272,74,155,147,17,40,8,0,1.0,51,16,3,1,2002,0.0,0,1,11,2,0.267,0.226,0.493,0,0.25,0.0,1,10.0,3,3.33,0,0.00,3.84,0.067,0.6,0.168
110,10,11,박종호,현대,0.266,108,468,402,58,107,15,2,7.0,147,53,29,1,2002,0.0,0,0,2,1,0.200,0.200,0.400,1,0.0,0.0,0,4.0,2,2.00,0,0.00,3.10,0.000,-0.1,0.14
111,11,12,채종국,현대,0.228,100,224,184,24,42,7,0,3.0,58,15,12,3,2002,7.0,1,3,35,1,0.395,0.280,0.675,3,0.294,0.115,6,17.0,15,1.13,0,0.20,4.00,0.198,11.1,0.225
112,12,13,박진만,현대,0.219,126,466,401,47,88,24,0,12.0,148,57,9,4,2002,0.0,0,0,7,1,0.389,0.167,0.556,0,0.333,0.231,2,7.0,1,7.00,0,0.00,4.28,0.222,0.9,0.172
113,13,14,조재호,현대,0.216,61,104,88,9,19,4,2,2.0,33,12,2,2,2002,0.0,0,1,3,1,0.154,0.214,0.368,0,0.25,0.125,0,4.0,4,1.00,0,0.00,3.36,0.000,0.0,0.135
114,14,15,김일경,현대,0.213,57,91,80,9,17,2,1,2.0,27,7,2,1,2002,0.0,0,1,3,0,0.143,0.250,0.393,0,0.0,0.167,0,2.0,1,2.00,0,0.00,5.00,0.000,0.3,0.148
115,15,16,강병식,현대,0.208,89,147,130,16,27,3,1,6.0,50,20,1,2,2002,3.0,0,2,16,1,0.206,0.173,0.379,1,0.158,0.167,4,29.0,17,1.71,0,0.19,3.70,0.088,1.9,0.129
116,16,17,박경완,현대,0.203,119,398,330,42,67,10,1,19.0,136,42,12,3,2002,0.0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0,0,0.0,0,-,0,0.00,3.00,0.000,-0.1,0.0
117,17,18,박우호,현대,0.200,12,11,10,2,2,0,0,0.0,2,0,0,0,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
118,18,19,김민우,현대,0.195,25,47,41,8,8,2,1,0.0,12,2,0,1,2002,0.0,0,0,0,0,-,-,-,0,0.0,0.0,0,0.0,0,-,0,-,-,-,0.0,0.0
