,순위,선수명,팀명,AVG,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,년도,경기타입
0,1,조윤채,한화,0.414,3,0,0,6,1,0.586,0.469,1.055,4,0.000,0.000,2002,KBO 정규시즌
1,2,이영우,한화,0.315,73,6,8,103,14,0.525,0.415,0.940,43,0.321,0.167,2002,KBO 정규시즌
2,3,송지만,한화,0.291,58,4,9,136,14,0.570,0.375,0.945,37,0.295,0.000,2002,KBO 정규시즌
3,4,강석천,한화,0.289,20,0,2,51,9,0.417,0.347,0.764,16,0.298,0.306,2002,KBO 정규시즌
4,5,데이비스,한화,0.287,46,5,4,97,6,0.505,0.364,0.869,29,0.265,0.200,2002,KBO 정규시즌
5,6,황우구,한화,0.280,10,0,1,18,0,0.427,0.368,0.795,2,0.300,0.000,2002,KBO 정규시즌
6,7,가르시아,한화,0.260,4,0,0,20,1,0.411,0.299,0.710,5,0.375,0.000,2002,KBO 정규시즌
7,8,이범호,한화,0.260,24,1,3,57,5,0.453,0.320,0.773,17,0.250,0.000,2002,KBO 정규시즌
8,9,조현수,한화,0.256,3,0,1,10,2,0.326,0.319,0.645,1,0.250,0.333,2002,KBO 정규시즌
9,10,허준,한화,0.255,20,0,1,32,4,0.311,0.324,0.635,8,0.150,0.000,2002,KBO 정규시즌
10,11,김태균,한화,0.255,41,2,2,103,13,0.362,0.347,0.709,16,0.250,0.188,2002,KBO 정규시즌
11,12,장종훈,한화,0.248,24,1,2,88,1,0.417,0.306,0.723,15,0.263,0.167,2002,KBO 정규시즌
12,13,이도형,한화,0.241,20,2,2,66,10,0.414,0.282,0.696,22,0.234,0.286,2002,KBO 정규시즌
13,14,조효상,한화,0.238,0,0,0,6,1,0.476,0.238,0.714,2,0.200,0.000,2002,KBO 정규시즌
14,15,임수민,한화,0.227,40,0,7,78,10,0.358,0.313,0.671,19,0.221,0.250,2002,KBO 정규시즌
15,16,조경택,한화,0.204,13,0,3,41,3,0.318,0.277,0.595,5,0.179,0.000,2002,KBO 정규시즌
16,17,백재호,한화,0.202,14,0,1,42,2,0.409,0.258,0.667,8,0.231,0.000,2002,KBO 정규시즌
17,18,김수연,한화,0.201,9,0,2,40,1,0.246,0.243,0.489,8,0.098,0.133,2002,KBO 정규시즌
