,순위,선수명,팀명,AVG,G,PA,AB,H,2B,3B,HR,RBI,년도,경기타입
3,4,이종범,KIA,0.381,12,43,42,16,7,0,2,7,2002,KBO 와일드카드
4,5,장성호,KIA,0.364,12,49,44,16,5,0,2,9,2002,KBO 와일드카드
5,6,김상훈,KIA,0.360,11,29,25,9,1,0,1,5,2002,KBO 와일드카드
6,7,김경언,KIA,0.333,4,4,3,1,0,0,0,0,2002,KBO 와일드카드
7,7,오우진,KIA,0.333,2,3,3,1,0,0,0,0,2002,KBO 와일드카드
8,9,김창희,KIA,0.306,11,40,36,11,1,0,1,7,2002,KBO 와일드카드
9,10,이동수,KIA,0.292,11,26,24,7,1,0,1,3,2002,KBO 와일드카드
10,11,뉴선,KIA,0.286,11,47,42,12,3,0,1,8,2002,KBO 와일드카드
11,12,홍세완,KIA,0.283,12,47,46,13,3,0,1,8,2002,KBO 와일드카드
12,13,정성훈,KIA,0.267,12,31,30,8,4,0,0,4,2002,KBO 와일드카드
13,14,김지영,KIA,0.250,2,4,4,1,1,0,0,0,2002,KBO 와일드카드
14,15,장일현,KIA,0.182,10,14,11,2,1,0,0,2,2002,KBO 와일드카드
15,16,김지훈,KIA,0.167,7,7,6,1,0,0,0,0,2002,KBO 와일드카드
16,17,이현곤,KIA,0.103,9,33,29,3,0,0,0,2,2002,KBO 와일드카드
17,18,황성기,KIA,0.091,9,12,11,1,0,0,0,0,2002,KBO 와일드카드
18,19,곽채진,KIA,-,1,0,0,0,0,0,0,0,2002,KBO 와일드카드
19,19,김인철,KIA,0.000,1,1,1,0,0,0,0,0,2002,KBO 와일드카드
20,19,리오스,KIA,-,1,0,0,0,0,0,0,0,2002,KBO 와일드카드
21,19,박충식,KIA,-,2,0,0,0,0,0,0,0,2002,KBO 와일드카드
22,19,심제훈,KIA,-,1,0,0,0,0,0,0,0,2002,KBO 와일드카드
23,19,이재주,KIA,0.000,7,3,3,0,0,0,0,0,2002,KBO 와일드카드
0,1,김경언,KIA,0.500,4,10,8,4,0,0,0,1,2002,KBO 한국시리즈
1,2,장성호,KIA,0.391,5,25,23,9,2,0,1,3,2002,KBO 한국시리즈
2,3,김인철,KIA,0.375,5,10,8,3,0,0,1,1,2002,KBO 한국시리즈
3,4,이종범,KIA,0.333,5,25,21,7,1,0,1,1,2002,KBO 한국시리즈
4,5,김종국,KIA,0.300,5,26,20,6,0,0,1,2,2002,KBO 한국시리즈
5,6,김상훈,KIA,0.294,5,20,17,5,0,0,0,2,2002,KBO 한국시리즈
6,7,홍세완,KIA,0.261,5,25,23,6,2,0,0,3,2002,KBO 한국시리즈
7,8,신동주,KIA,0.222,5,20,18,4,0,0,1,2,2002,KBO 한국시리즈
8,9,펨버튼,KIA,0.150,5,23,20,3,1,0,0,1,2002,KBO 한국시리즈
9,10,김민철,KIA,-,1,0,0,0,0,0,0,0,2002,KBO 한국시리즈
10,10,김창희,KIA,0.000,4,5,4,0,0,0,0,0,2002,KBO 한국시리즈
11,10,이현곤,KIA,0.000,2,2,2,0,0,0,0,0,2002,KBO 한국시리즈
12,10,장일현,KIA,-,1,1,0,0,0,0,0,0,2002,KBO 한국시리즈
13,10,장정석,KIA,-,2,0,0,0,0,0,0,0,2002,KBO 한국시리즈
14,10,정성훈,KIA,0.000,5,21,17,0,0,0,0,0,2002,KBO 한국시리즈
0,1,황윤성,현대,0.324,25,39,37,12,4,1,1,9,2002,KBO 시범경기
1,2,심정수,현대,0.321,133,577,502,161,22,1,46,119,2002,KBO 시범경기
2,3,전준호,현대,0.300,126,501,420,126,15,8,3,28,2002,KBO 시범경기
3,4,전근표,현대,0.294,11,20,17,5,2,1,0,5,2002,KBO 시범경기
4,5,이숭용,현대,0.284,125,480,422,120,18,2,19,76,2002,KBO 시범경기
5,6,최익성,현대,0.280,45,95,75,21,1,0,1,8,2002,KBO 시범경기
6,7,폴,현대,0.280,113,441,397,111,18,2,18,64,2002,KBO 시범경기
7,8,박재홍,현대,0.278,112,481,432,120,24,0,15,67,2002,KBO 시범경기
8,9,프랭클린,현대,0.276,49,198,152,42,9,1,14,30,2002,KBO 시범경기
9,10,강귀태,현대,0.272,74,155,147,40,8,0,1,16,2002,KBO 시범경기
10,11,박종호,현대,0.266,108,468,402,107,15,2,7,53,2002,KBO 시범경기
11,12,채종국,현대,0.228,100,224,184,42,7,0,3,15,2002,KBO 시범경기
12,13,박진만,현대,0.219,126,466,401,88,24,0,12,57,2002,KBO 시범경기
13,14,조재호,현대,0.216,61,104,88,19,4,2,2,12,2002,KBO 시범경기
14,15,김일경,현대,0.213,57,91,80,17,2,1,2,7,2002,KBO 시범경기
15,16,강병식,현대,0.208,89,147,130,27,3,1,6,20,2002,KBO 시범경기
16,17,박경완,현대,0.203,119,398,330,67,10,1,19,42,2002,KBO 시범경기
17,18,박우호,현대,0.200,12,11,10,2,0,0,0,0,2002,KBO 시범경기
18,19,김민우,현대,0.195,25,47,41,8,2,1,0,2,2002,KBO 시범경기
19,20,조승현,현대,0.163,31,50,43,7,1,0,2,7,2002,KBO 시범경기
20,21,정수성,현대,0.154,50,16,13,2,0,0,0,0,2002,KBO 시범경기
21,22,이용주,현대,0.150,23,22,20,3,0,0,1,2,2002,KBO 시범경기
22,23,서한규,현대,0.130,86,50,46,6,1,1,0,3,2002,KBO 시범경기
23,24,서성민,현대,0.109,36,50,46,5,0,0,1,1,2002,KBO 시범경기
24,25,김필중,현대,0.000,3,2,2,0,0,0,0,0,2002,KBO 시범경기
25,25,배힘찬,현대,-,1,0,0,0,0,0,0,0,2002,KBO 시범경기
26,25,이대환,현대,-,1,0,0,0,0,0,0,0,2002,KBO 시범경기
27,25,전준호,현대,-,1,0,0,0,0,0,0,0,2002,KBO 시범경기
28,25,조용준,현대,-,3,0,0,0,0,0,0,0,2002,KBO 시범경기
0,1,조승현,현대,0.500,5,8,6,3,0,0,0,0,2002,KBO 와일드카드
1,2,강귀태,현대,0.455,11,14,11,5,0,0,1,4,2002,KBO 와일드카드
2,3,심정수,현대,0.362,12,48,47,17,1,0,3,6,2002,KBO 와일드카드
3,4,서성민,현대,0.357,9,15,14,5,2,0,1,3,2002,KBO 와일드카드
4,5,박종호,현대,0.333,10,36,33,11,1,0,0,2,2002,KBO 와일드카드
5,6,폴,현대,0.325,12,46,40,13,0,0,3,12,2002,KBO 와일드카드
6,7,전근표,현대,0.286,7,8,7,2,0,0,0,0,2002,KBO 와일드카드
7,8,박경완,현대,0.258,11,33,31,8,3,0,1,2,2002,KBO 와일드카드
8,9,박진만,현대,0.257,11,40,35,9,2,1,1,3,2002,KBO 와일드카드
9,10,박재홍,현대,0.255,13,53,51,13,0,0,1,5,2002,KBO 와일드카드
10,11,전준호,현대,0.250,13,43,40,10,1,0,0,1,2002,KBO 와일드카드
11,12,채종국,현대,0.231,12,14,13,3,1,0,1,3,2002,KBO 와일드카드
12,13,김일경,현대,0.200,6,5,5,1,1,0,0,0,2002,KBO 와일드카드
13,14,이숭용,현대,0.189,13,45,37,7,1,0,2,7,2002,KBO 와일드카드
14,15,조재호,현대,0.167,8,7,6,1,0,0,0,0,2002,KBO 와일드카드
15,16,김민우,현대,0.139,11,40,36,5,0,0,0,0,2002,KBO 와일드카드
16,17,이용주,현대,0.133,12,16,15,2,0,0,0,0,2002,KBO 와일드카드
17,18,강병식,현대,0.091,9,17,11,1,0,0,1,4,2002,KBO 와일드카드
18,19,정수성,현대,-,5,0,0,0,0,0,0,0,2002,KBO 와일드카드
0,1,박진만,현대,0.500,2,7,6,3,0,0,0,0,2002,KBO 플레이오프
1,1,서한규,현대,0.500,1,3,2,1,0,0,0,0,2002,KBO 플레이오프
2,3,심정수,현대,0.286,2,8,7,2,1,0,0,3,2002,KBO 플레이오프
3,3,전준호,현대,0.286,2,7,7,2,0,0,0,0,2002,KBO 플레이오프
4,5,박재홍,현대,0.222,2,9,9,2,0,0,0,0,2002,KBO 플레이오프
5,6,박경완,현대,0.200,2,7,5,1,0,0,1,1,2002,KBO 플레이오프
6,7,박종호,현대,0.143,2,9,7,1,0,0,0,0,2002,KBO 플레이오프
7,8,김일경,현대,-,1,0,0,0,0,0,0,0,2002,KBO 플레이오프
8,8,서성민,현대,0.000,1,1,1,0,0,0,0,0,2002,KBO 플레이오프
9,8,이숭용,현대,0.000,2,7,6,0,0,0,0,0,2002,KBO 플레이오프
10,8,조재호,현대,-,1,0,0,0,0,0,0,0,2002,KBO 플레이오프
11,8,최익성,현대,0.000,2,2,2,0,0,0,0,0,2002,KBO 플레이오프
12,8,폴,현대,0.000,1,3,3,0,0,0,0,0,2002,KBO 플레이오프
13,8,프랭클린,현대,0.000,2,8,7,0,0,0,0,0,2002,KBO 플레이오프
0,1,윤태수,두산,0.333,3,3,3,1,1,0,0,0,2002,KBO 시범경기
1,2,김동주,두산,0.318,120,487,415,132,21,0,26,79,2002,KBO 시범경기
2,3,송원국,두산,0.308,45,70,65,20,5,0,3,13,2002,KBO 시범경기
3,4,강인권,두산,0.294,38,56,51,15,1,0,0,1,2002,KBO 시범경기
4,5,홍성흔,두산,0.289,127,484,432,125,17,0,18,70,2002,KBO 시범경기
5,6,안경현,두산,0.288,130,548,486,140,24,4,8,58,2002,KBO 시범경기
6,7,장원진,두산,0.275,130,488,444,122,12,3,1,30,2002,KBO 시범경기
7,8,최경환,두산,0.274,126,403,369,101,18,1,13,47,2002,KBO 시범경기
8,9,김호,두산,0.262,91,179,164,43,4,1,4,16,2002,KBO 시범경기
9,10,우즈,두산,0.256,119,469,407,104,18,3,25,82,2002,KBO 시범경기
10,11,강봉규,두산,0.250,93,182,160,40,6,1,5,25,2002,KBO 시범경기
11,12,전상렬,두산,0.246,125,290,268,66,12,2,5,26,2002,KBO 시범경기
12,13,심재학,두산,0.245,119,463,383,94,16,3,15,57,2002,KBO 시범경기
13,14,정수근,두산,0.235,122,482,426,100,9,2,3,22,2002,KBO 시범경기
14,15,유재웅,두산,0.211,52,61,57,12,1,0,1,5,2002,KBO 시범경기
15,16,홍원기,두산,0.171,109,191,170,29,6,0,1,11,2002,KBO 시범경기
16,17,김민호,두산,0.156,95,185,160,25,3,1,2,11,2002,KBO 시범경기
17,18,문희성,두산,0.125,13,19,16,2,0,0,0,2,2002,KBO 시범경기
18,19,고영민,두산,0.100,16,10,10,1,0,0,0,1,2002,KBO 시범경기
19,20,이종민,두산,0.091,14,12,11,1,0,0,0,0,2002,KBO 시범경기
20,21,김성균,두산,0.000,3,1,1,0,0,0,0,0,2002,KBO 시범경기
21,21,김학재,두산,-,2,0,0,0,0,0,0,0,2002,KBO 시범경기
22,21,레스,두산,-,1,0,0,0,0,0,0,0,2002,KBO 시범경기
23,21,이경환,두산,-,1,0,0,0,0,0,0,0,2002,KBO 시범경기
24,21,이상훈,두산,-,2,0,0,0,0,0,0,0,2002,KBO 시범경기
25,21,이재영,두산,-,2,0,0,0,0,0,0,0,2002,KBO 시범경기
26,21,이혜천,두산,-,1,0,0,0,0,0,0,0,2002,KBO 시범경기
27,21,진필중,두산,-,1,0,0,0,0,0,0,0,2002,KBO 시범경기
28,21,차명주,두산,-,1,0,0,0,0,0,0,0,2002,KBO 시범경기
0,1,김성균,두산,1.000,3,1,1,1,0,0,0,0,2002,KBO 와일드카드
1,2,장원진,두산,0.441,9,36,34,15,2,0,1,2,2002,KBO 와일드카드
2,3,강인권,두산,0.389,9,19,18,7,0,0,0,1,2002,KBO 와일드카드
3,4,강봉규,두산,0.313,8,18,16,5,2,0,1,2,2002,KBO 와일드카드
4,5,전상렬,두산,0.292,11,25,24,7,3,1,0,4,2002,KBO 와일드카드
5,6,안경현,두산,0.258,11,37,31,8,3,0,0,5,2002,KBO 와일드카드
6,7,김동주,두산,0.257,10,40,35,9,4,0,2,7,2002,KBO 와일드카드
7,8,최경환,두산,0.250,11,27,20,5,2,0,0,1,2002,KBO 와일드카드
8,8,홍원기,두산,0.250,8,20,20,5,1,0,0,1,2002,KBO 와일드카드
9,10,문희성,두산,0.235,9,19,17,4,0,0,1,4,2002,KBO 와일드카드
10,11,홍성흔,두산,0.227,7,22,22,5,1,0,0,4,2002,KBO 와일드카드
11,12,정수근,두산,0.212,9,35,33,7,1,0,0,0,2002,KBO 와일드카드
12,13,심재학,두산,0.208,8,28,24,5,1,0,2,7,2002,KBO 와일드카드
