,순위,선수명,팀명,AVG,G,PA,AB,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,E,년도,경기타입
25,24,박기복,롯데,0.000,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1995,KBO 정규시즌
26,24,양종성,롯데,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,KBO 정규시즌
27,24,이지환,롯데,0.000,6,10,10,0,0,0,0,0,0,0,0,0,3,0,0,1995,KBO 정규시즌
0,1,김선일,롯데,1.000,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1995,KBO 플레이오프
1,2,김종훈,롯데,0.333,3,3,3,1,0,0,0,0,0,0,0,0,2,0,0,1995,KBO 플레이오프
2,3,박정태,롯데,0.292,6,26,24,7,3,0,0,1,0,0,2,0,2,1,2,1995,KBO 플레이오프
3,4,마해영,롯데,0.286,6,25,21,6,1,0,1,4,0,0,4,0,3,0,1,1995,KBO 플레이오프
4,5,전준호,롯데,0.280,6,28,25,7,0,0,0,1,2,1,3,0,4,0,0,1995,KBO 플레이오프
5,6,강성우,롯데,0.263,6,23,19,5,0,0,1,6,1,0,2,0,2,0,0,1995,KBO 플레이오프
6,7,김응국,롯데,0.250,6,25,20,5,1,1,1,2,0,0,5,0,1,0,0,1995,KBO 플레이오프
7,7,임수혁,롯데,0.250,6,16,12,3,0,0,2,3,0,0,4,0,1,1,0,1995,KBO 플레이오프
8,9,공필성,롯데,0.235,6,21,17,4,2,0,0,2,2,0,0,3,3,0,0,1995,KBO 플레이오프
9,10,김민재,롯데,0.150,6,22,20,3,0,0,0,2,0,1,1,1,3,1,1,1995,KBO 플레이오프
10,11,김종헌,롯데,0.143,3,9,7,1,0,0,0,0,1,0,1,1,2,0,0,1995,KBO 플레이오프
11,12,김민호,롯데,0.111,4,10,9,1,0,0,0,2,0,0,1,0,3,0,0,1995,KBO 플레이오프
12,13,이종운,롯데,0.091,6,13,11,1,1,0,0,1,0,1,1,0,3,0,2,1995,KBO 플레이오프
13,14,손동일,롯데,0.000,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,1995,KBO 플레이오프
14,14,조규철,롯데,-,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1995,KBO 플레이오프
15,14,한영준,롯데,0.000,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1995,KBO 플레이오프
0,1,강성우,롯데,0.353,7,20,17,6,0,0,0,1,1,0,1,0,3,0,0,1995,KBO 한국시리즈
1,2,마해영,롯데,0.292,7,28,24,7,1,0,1,3,0,0,4,0,2,0,0,1995,KBO 한국시리즈
2,3,임수혁,롯데,0.286,4,9,7,2,0,0,0,1,0,0,1,0,1,0,0,1995,KBO 한국시리즈
3,4,김응국,롯데,0.273,7,25,22,6,1,0,0,1,1,0,3,0,4,0,0,1995,KBO 한국시리즈
4,5,김종헌,롯데,0.263,7,22,19,5,0,0,0,1,3,1,2,0,4,1,0,1995,KBO 한국시리즈
5,6,손동일,롯데,0.250,6,5,4,1,0,0,0,1,1,0,0,0,1,0,0,1995,KBO 한국시리즈
6,7,공필성,롯데,0.217,7,27,23,5,0,1,1,3,1,0,1,3,2,1,1,1995,KBO 한국시리즈
7,8,김민재,롯데,0.214,7,19,14,3,0,0,0,2,0,2,2,1,3,0,1,1995,KBO 한국시리즈
8,8,김종훈,롯데,0.214,7,16,14,3,0,1,0,3,0,1,0,1,2,0,0,1995,KBO 한국시리즈
9,10,전준호,롯데,0.154,7,31,26,4,2,0,0,2,1,0,2,0,3,0,0,1995,KBO 한국시리즈
10,11,박정태,롯데,0.074,7,30,27,2,0,0,0,0,0,0,1,0,1,1,1,1995,KBO 한국시리즈
11,12,김민호,롯데,0.000,2,7,5,0,0,0,0,1,0,0,2,0,2,0,0,1995,KBO 한국시리즈
12,12,김선일,롯데,0.000,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1995,KBO 한국시리즈
13,12,박지철,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,KBO 한국시리즈
14,12,이종운,롯데,0.000,5,10,10,0,0,0,0,0,0,1,0,0,0,0,0,1995,KBO 한국시리즈
